Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
study_id,demographics,,text,Study ID,,,,,,,,y,,,,,
first_name,demographics,Participant,text,First Name,,,,,,y,,y,,,,,
last_name,demographics,,text,Last Name,,,,,,y,,y,,,,,
middle_name,demographics,,text,Middle Name,,,,,,y,,,,,,,
dob,demographics,,text,Date of Birth,,YYYY-MM-DD,date_ymd,,,y,,y,,,,,
placeofbirth,demographics,,text,Place of Birth,,"City, State, Country",,,,,,,,,,,
sex,demographics,,radio,Gender,"0, Female | 1, Male | 2, Other | 3, Transsexual | 999, Unknown",Select one,,,,,,,,,,,
participant_race,demographics,,checkbox,Participant's Race,"1, American Indian/Alaskan Native | 2, Asian | 3, Native Hawaiian or Pacific Islander | 4, Black or African American | 5, White | 6, Middle Eastern or North African | 999, Unknown (not reported)",For a mixed race check all that apply,,,,,,,,,,,
participant_ethnicity,demographics,,radio,Participant's Ethnicity,"0, Not Hispanic or Latino | 1, Hispanic or Latino | 2, Ashkenazi Jewish | 999, Unknown (not reported)",Select one,,,,y,,,,,,,
mrn,demographics,,text,Medical Record Number,,,,,,y,,,,,,,
date_consent,demographics,,text,Date of Original Consent,,YYYY-MM-DD,date_ymd,,,,,y,,,,,
consent18,demographics,,radio,Has the subject been re-consented after turning 18?,"0, No | 1, Yes | 2, NA",,,,,,,,,,,,
consent18_date,demographics,,text,Date of re-consent after turning 18,,YYYY-MM-DD,date_ymd,,,,"[consent18]=""1""",,,,,,
date_eb_consent,demographics,,text,Date of re-consent for UCD database (if applicable),,YYYY-MM-DD,date_ymd,,,,,,,,,,
primary_contact,demographics,,radio,Who should be contacted in regards to the subject?,"1, Parent/Legal Guardian | 0, Participant (him or herself)",,,,,,,,,,,,
participant_address,demographics,,text,Participant's Address ,,St. Address ,,,,y,"[primary_contact]=""0""",,,,,,
participant_city,demographics,,text,"Participant's city, town, or village of residence",,City,,,,y,"[primary_contact]=""0""",,,,,,
participant_state,demographics,,text,Participant's State or Province of residence,,State: CO,,,,y,"[primary_contact]=""0""",,,,,,
participant_zip,demographics,,text,Participant's Zip/Postal Code,,5 digits: Ex: 80357,,,,y,"[primary_contact]=""0""",,,,,,
participant_country,demographics,,text,Participant's Country of residence,,USA or Canada,,,,,"[primary_contact]=""0""",,,,,,
participant_primary_phone,demographics,,text,Participant's primary phone number,,Ex: (303) 333-3333,phone,,,y,"[primary_contact]=""0""",,,,,,
participant_scd_phone,demographics,,text,Participant's secondary phone number,,Ex: (303) 333-3333,phone,,,y,"[primary_contact]=""0""",,,,,,
participant_email,demographics,,text,Participant's email address,,,email,,,y,"[primary_contact]=""0""",,,,,,
parent_first_name,demographics,Parent/Legal Guardian,text,Parent/Legal Guardian's First Name,,,,,,y,"[primary_contact]=""1""",,,,,,
parent_last_name,demographics,,text,Parent/Legal Guardian's Last Name,,,,,,y,"[primary_contact]=""1""",,,,,,
parent_address_n,demographics,,text,Parent/Legal Guardian's Address,,St. Address ,,,,y,"[primary_contact]=""1""",,,,,,
parent_city,demographics,,text,"Parent's city, town, or village of residence",,City,,,,y,"[primary_contact]=""1""",,,,,,
parent_state,demographics,,text,Parent's State or Province of residence,,State: CO,,,,y,"[primary_contact]=""1""",,,,,,
parent_zip,demographics,,text,Parent's Zip/Postal Code,,5 digits: Ex: 80357,,,,y,"[primary_contact]=""1""",,,,,,
